Epoch: 81, Loss_D: 0.2765, Loss_G: 1.3945, Time: 49.00
Epoch: 82, Loss_D: 0.2776, Loss_G: 1.3858, Time: 49.13
Epoch: 83, Loss_D: 0.2784, Loss_G: 1.3945, Time: 49.11
Epoch: 84, Loss_D: 0.2775, Loss_G: 1.4004, Time: 49.17
Epoch: 85, Loss_D: 0.2760, Loss_G: 1.3784, Time: 48.62
Epoch: 86, Loss_D: 0.2771, Loss_G: 1.3865, Time: 49.47
Epoch: 87, Loss_D: 0.2754, Loss_G: 1.3955, Time: 48.80
Epoch: 88, Loss_D: 0.2765, Loss_G: 1.4230, Time: 49.30
Epoch: 89, Loss_D: 0.2765, Loss_G: 1.3976, Time: 51.27
Epoch: 90, Loss_D: 0.2761, Loss_G: 1.3870, Time: 48.35
Epoch: 91, Loss_D: 0.2768, Loss_G: 1.4307, Time: 48.45
Epoch: 92, Loss_D: 0.2770, Loss_G: 1.4206, Time: 47.53
Epoch: 93, Loss_D: 0.2769, Loss_G: 1.3804, Time: 48.82
Epoch: 94, Loss_D: 0.2761, Loss_G: 1.4068, Time: 48.89
Epoch: 95, Loss_D: 0.2767, Loss_G: 1.4037, Time: 376.45
Epoch: 96, Loss_D: 0.2767, Loss_G: 1.3903, Time: 29.88
Epoch: 97, Loss_D: 0.2776, Loss_G: 1.3969, Time: 25.62
Epoch: 98, Loss_D: 0.2767, Loss_G: 1.4062, Time: 25.30
Epoch: 99, Loss_D: 0.2762, Loss_G: 1.3703, Time: 26.05
Epoch: 100, Loss_D: 0.2757, Loss_G: 1.4022, Time: 27.63
Epoch: 101, Loss_D: 0.2772, Loss_G: 1.4024, Time: 27.57
Epoch: 102, Loss_D: 0.2763, Loss_G: 1.4075, Time: 27.14
Epoch: 103, Loss_D: 0.2769, Loss_G: 1.3823, Time: 27.47
Epoch: 104, Loss_D: 0.2764, Loss_G: 1.3985, Time: 27.79
Epoch: 105, Loss_D: 0.2768, Loss_G: 1.4111, Time: 27.43
Epoch: 106, Loss_D: 0.2762, Loss_G: 1.4056, Time: 28.76
Epoch: 107, Loss_D: 0.2772, Loss_G: 1.4042, Time: 31.36
Epoch: 108, Loss_D: 0.2768, Loss_G: 1.3981, Time: 29.23
Epoch: 109, Loss_D: 0.2765, Loss_G: 1.3696, Time: 28.22
Epoch: 110, Loss_D: 0.2763, Loss_G: 1.3774, Time: 28.91
Epoch: 111, Loss_D: 0.2759, Loss_G: 1.4126, Time: 29.18
Epoch: 112, Loss_D: 0.2771, Loss_G: 1.3842, Time: 27.62
Epoch: 113, Loss_D: 0.2766, Loss_G: 1.4077, Time: 27.53
Epoch: 114, Loss_D: 0.2770, Loss_G: 1.3963, Time: 27.67
Epoch: 115, Loss_D: 0.2763, Loss_G: 1.4091, Time: 27.87
Epoch: 116, Loss_D: 0.2775, Loss_G: 1.4112, Time: 27.31
Epoch: 117, Loss_D: 0.2769, Loss_G: 1.3843, Time: 27.55
Epoch: 118, Loss_D: 0.2764, Loss_G: 1.3964, Time: 27.40
Epoch: 119, Loss_D: 0.2770, Loss_G: 1.4108, Time: 26.30
Epoch: 120, Loss_D: 0.2768, Loss_G: 1.3956, Time: 27.04
Epoch: 121, Loss_D: 0.2763, Loss_G: 1.3838, Time: 28.57
Epoch: 122, Loss_D: 0.2765, Loss_G: 1.3959, Time: 28.83
Epoch: 123, Loss_D: 0.2763, Loss_G: 1.3801, Time: 29.18
Epoch: 124, Loss_D: 0.2767, Loss_G: 1.3960, Time: 29.42
Epoch: 125, Loss_D: 0.2768, Loss_G: 1.3844, Time: 30.10
Epoch: 126, Loss_D: 0.2768, Loss_G: 1.3910, Time: 29.89
Epoch: 127, Loss_D: 0.2762, Loss_G: 1.4114, Time: 29.03
Epoch: 128, Loss_D: 0.2763, Loss_G: 1.4136, Time: 30.39
Epoch: 129, Loss_D: 0.2759, Loss_G: 1.4015, Time: 30.75
Epoch: 130, Loss_D: 0.2769, Loss_G: 1.3992, Time: 32.64
Epoch: 131, Loss_D: 0.2770, Loss_G: 1.3856, Time: 29.05
Epoch: 132, Loss_D: 0.2774, Loss_G: 1.3785, Time: 29.32
Epoch: 133, Loss_D: 0.2770, Loss_G: 1.3979, Time: 29.85
Epoch: 134, Loss_D: 0.2764, Loss_G: 1.4119, Time: 30.10
Epoch: 135, Loss_D: 0.2763, Loss_G: 1.4021, Time: 30.28
Epoch: 136, Loss_D: 0.2768, Loss_G: 1.3985, Time: 29.99
Epoch: 137, Loss_D: 0.2772, Loss_G: 1.3858, Time: 29.94
Epoch: 138, Loss_D: 0.2760, Loss_G: 1.4021, Time: 29.90
Epoch: 139, Loss_D: 0.2758, Loss_G: 1.3887, Time: 28.88
Epoch: 140, Loss_D: 0.2763, Loss_G: 1.3792, Time: 30.51
Epoch: 141, Loss_D: 0.2760, Loss_G: 1.4027, Time: 30.32
Epoch: 142, Loss_D: 0.2772, Loss_G: 1.3856, Time: 29.96
Epoch: 143, Loss_D: 0.2766, Loss_G: 1.4079, Time: 29.92
Epoch: 144, Loss_D: 0.2761, Loss_G: 1.4127, Time: 28.71
Epoch: 145, Loss_D: 0.2767, Loss_G: 1.3899, Time: 29.41
Epoch: 146, Loss_D: 0.2770, Loss_G: 1.3952, Time: 29.21
Epoch: 147, Loss_D: 0.2765, Loss_G: 1.4077, Time: 29.13
Epoch: 148, Loss_D: 0.2768, Loss_G: 1.3824, Time: 29.06
Epoch: 149, Loss_D: 0.2762, Loss_G: 1.3972, Time: 27.91
Epoch: 150, Loss_D: 0.2768, Loss_G: 1.4122, Time: 28.52
Epoch: 151, Loss_D: 0.2764, Loss_G: 1.3844, Time: 28.74
Epoch: 152, Loss_D: 0.2762, Loss_G: 1.4126, Time: 28.31
Epoch: 153, Loss_D: 0.2770, Loss_G: 1.4060, Time: 28.93
Epoch: 154, Loss_D: 0.2759, Loss_G: 1.4076, Time: 30.01
Epoch: 155, Loss_D: 0.2767, Loss_G: 1.3853, Time: 29.03
Epoch: 156, Loss_D: 0.2766, Loss_G: 1.3926, Time: 29.40
Epoch: 157, Loss_D: 0.2768, Loss_G: 1.3807, Time: 29.15
Epoch: 158, Loss_D: 0.2760, Loss_G: 1.3843, Time: 29.42
Epoch: 159, Loss_D: 0.2763, Loss_G: 1.4058, Time: 28.88
Epoch: 160, Loss_D: 0.2768, Loss_G: 1.3879, Time: 31.42
Epoch: 161, Loss_D: 0.2761, Loss_G: 1.4116, Time: 28.87
Epoch: 162, Loss_D: 0.2765, Loss_G: 1.4096, Time: 28.53
Epoch: 163, Loss_D: 0.2766, Loss_G: 1.3909, Time: 28.95
Epoch: 164, Loss_D: 0.2760, Loss_G: 1.3913, Time: 28.99
Epoch: 165, Loss_D: 0.2762, Loss_G: 1.4005, Time: 28.77
Epoch: 166, Loss_D: 0.2764, Loss_G: 1.3905, Time: 29.27
Epoch: 167, Loss_D: 0.2768, Loss_G: 1.4121, Time: 28.93
Epoch: 168, Loss_D: 0.2771, Loss_G: 1.3817, Time: 29.11
Epoch: 169, Loss_D: 0.2774, Loss_G: 1.3821, Time: 27.62
Epoch: 170, Loss_D: 0.2765, Loss_G: 1.4045, Time: 29.22
Epoch: 171, Loss_D: 0.2769, Loss_G: 1.4065, Time: 28.75
Epoch: 172, Loss_D: 0.2767, Loss_G: 1.3920, Time: 28.86
Epoch: 173, Loss_D: 0.2768, Loss_G: 1.3999, Time: 29.35
Epoch: 174, Loss_D: 0.2768, Loss_G: 1.3976, Time: 28.84
Epoch: 175, Loss_D: 0.2763, Loss_G: 1.3961, Time: 29.05
Epoch: 176, Loss_D: 0.2766, Loss_G: 1.4065, Time: 29.21
Epoch: 177, Loss_D: 0.2760, Loss_G: 1.4038, Time: 28.95
Epoch: 178, Loss_D: 0.2768, Loss_G: 1.4099, Time: 28.90
Epoch: 179, Loss_D: 0.2767, Loss_G: 1.4038, Time: 27.77
Epoch: 180, Loss_D: 0.2764, Loss_G: 1.3957, Time: 29.34
Epoch: 181, Loss_D: 0.2761, Loss_G: 1.3936, Time: 28.79
Epoch: 182, Loss_D: 0.2763, Loss_G: 1.3880, Time: 28.58
Epoch: 183, Loss_D: 0.2772, Loss_G: 1.3854, Time: 28.79
Epoch: 184, Loss_D: 0.2759, Loss_G: 1.4131, Time: 29.13
Epoch: 185, Loss_D: 0.2760, Loss_G: 1.4028, Time: 29.84
Epoch: 186, Loss_D: 0.2759, Loss_G: 1.4123, Time: 28.96
Epoch: 187, Loss_D: 0.2759, Loss_G: 1.4109, Time: 29.73
Epoch: 188, Loss_D: 0.2764, Loss_G: 1.3881, Time: 28.73
Epoch: 189, Loss_D: 0.2776, Loss_G: 1.3930, Time: 28.26
Epoch: 190, Loss_D: 0.2764, Loss_G: 1.3960, Time: 28.68
Epoch: 191, Loss_D: 0.2769, Loss_G: 1.4018, Time: 28.69
Epoch: 192, Loss_D: 0.2767, Loss_G: 1.3947, Time: 28.43
Epoch: 193, Loss_D: 0.2766, Loss_G: 1.3970, Time: 28.69
Epoch: 194, Loss_D: 0.2763, Loss_G: 1.3888, Time: 28.88
Epoch: 195, Loss_D: 0.2767, Loss_G: 1.3804, Time: 28.99
Epoch: 196, Loss_D: 0.2767, Loss_G: 1.3899, Time: 28.78
Epoch: 197, Loss_D: 0.2762, Loss_G: 1.4029, Time: 29.04
Epoch: 198, Loss_D: 0.2761, Loss_G: 1.3951, Time: 29.22
Epoch: 199, Loss_D: 0.2768, Loss_G: 1.3981, Time: 28.96
Epoch: 200, Loss_D: 0.2764, Loss_G: 1.3989, Time: 27.64
Epoch: 201, Loss_D: 0.2758, Loss_G: 1.3962, Time: 28.97
Epoch: 202, Loss_D: 0.2761, Loss_G: 1.3832, Time: 28.41
Epoch: 203, Loss_D: 0.2767, Loss_G: 1.4065, Time: 28.90
Epoch: 204, Loss_D: 0.2762, Loss_G: 1.4017, Time: 29.48
Epoch: 205, Loss_D: 0.2771, Loss_G: 1.3925, Time: 28.49
Epoch: 206, Loss_D: 0.2768, Loss_G: 1.3988, Time: 29.24
Epoch: 207, Loss_D: 0.2772, Loss_G: 1.3966, Time: 29.01
Epoch: 208, Loss_D: 0.2773, Loss_G: 1.3975, Time: 28.81
Epoch: 209, Loss_D: 0.2768, Loss_G: 1.4069, Time: 29.37
Epoch: 210, Loss_D: 0.2769, Loss_G: 1.3933, Time: 27.80
Epoch: 211, Loss_D: 0.2764, Loss_G: 1.4019, Time: 28.83
Epoch: 212, Loss_D: 0.2768, Loss_G: 1.3906, Time: 28.90
Epoch: 213, Loss_D: 0.2770, Loss_G: 1.4081, Time: 28.63
Epoch: 214, Loss_D: 0.2771, Loss_G: 1.3824, Time: 28.82
Epoch: 215, Loss_D: 0.2762, Loss_G: 1.3968, Time: 28.52
Epoch: 216, Loss_D: 0.2765, Loss_G: 1.3972, Time: 28.92
Epoch: 217, Loss_D: 0.2762, Loss_G: 1.3953, Time: 29.63
Epoch: 218, Loss_D: 0.2768, Loss_G: 1.3901, Time: 29.76
Epoch: 219, Loss_D: 0.2768, Loss_G: 1.3883, Time: 28.79
Epoch: 220, Loss_D: 0.2761, Loss_G: 1.3965, Time: 28.21
Epoch: 221, Loss_D: 0.2767, Loss_G: 1.3927, Time: 29.21
Epoch: 222, Loss_D: 0.2759, Loss_G: 1.4083, Time: 29.30
Epoch: 223, Loss_D: 0.2755, Loss_G: 1.3970, Time: 29.00
Epoch: 224, Loss_D: 0.2761, Loss_G: 1.4032, Time: 29.02
Epoch: 225, Loss_D: 0.2767, Loss_G: 1.3825, Time: 28.99
Epoch: 226, Loss_D: 0.2766, Loss_G: 1.4036, Time: 29.13
Epoch: 227, Loss_D: 0.2754, Loss_G: 1.4102, Time: 28.98
Epoch: 228, Loss_D: 0.2761, Loss_G: 1.3930, Time: 28.68
Epoch: 229, Loss_D: 0.2767, Loss_G: 1.3987, Time: 29.57
Epoch: 230, Loss_D: 0.2763, Loss_G: 1.4058, Time: 28.41
Epoch: 231, Loss_D: 0.2763, Loss_G: 1.3910, Time: 28.76
Epoch: 232, Loss_D: 0.2758, Loss_G: 1.4063, Time: 28.84
Epoch: 233, Loss_D: 0.2766, Loss_G: 1.3990, Time: 28.63
Epoch: 234, Loss_D: 0.2767, Loss_G: 1.4041, Time: 29.00
Epoch: 235, Loss_D: 0.2768, Loss_G: 1.3894, Time: 29.08
Epoch: 236, Loss_D: 0.2767, Loss_G: 1.3922, Time: 28.62
Epoch: 237, Loss_D: 0.2766, Loss_G: 1.4076, Time: 28.93
Epoch: 238, Loss_D: 0.2758, Loss_G: 1.4007, Time: 29.39
Epoch: 239, Loss_D: 0.2764, Loss_G: 1.3929, Time: 28.40
Epoch: 240, Loss_D: 0.2762, Loss_G: 1.4077, Time: 27.69
Epoch: 241, Loss_D: 0.2766, Loss_G: 1.4042, Time: 28.87
Epoch: 242, Loss_D: 0.2764, Loss_G: 1.3989, Time: 28.83
Epoch: 243, Loss_D: 0.2753, Loss_G: 1.4123, Time: 28.69
Epoch: 244, Loss_D: 0.2763, Loss_G: 1.4001, Time: 28.91
Epoch: 245, Loss_D: 0.2770, Loss_G: 1.3830, Time: 29.27
Epoch: 246, Loss_D: 0.2764, Loss_G: 1.3887, Time: 29.61
Epoch: 247, Loss_D: 0.2767, Loss_G: 1.3969, Time: 29.27
Epoch: 248, Loss_D: 0.2764, Loss_G: 1.4063, Time: 29.17
Epoch: 249, Loss_D: 0.2762, Loss_G: 1.4058, Time: 28.95
Epoch: 250, Loss_D: 0.2770, Loss_G: 1.3994, Time: 29.02
Epoch: 251, Loss_D: 0.2758, Loss_G: 1.4035, Time: 28.28
Epoch: 252, Loss_D: 0.2764, Loss_G: 1.3966, Time: 28.06
Epoch: 253, Loss_D: 0.2761, Loss_G: 1.3961, Time: 28.42
Epoch: 254, Loss_D: 0.2762, Loss_G: 1.3956, Time: 28.48
Epoch: 255, Loss_D: 0.2770, Loss_G: 1.3977, Time: 28.45
Epoch: 256, Loss_D: 0.2767, Loss_G: 1.3989, Time: 29.17
Epoch: 257, Loss_D: 0.2766, Loss_G: 1.3931, Time: 28.59
Epoch: 258, Loss_D: 0.2767, Loss_G: 1.4020, Time: 27.99
Epoch: 259, Loss_D: 0.2756, Loss_G: 1.4018, Time: 28.02
Epoch: 260, Loss_D: 0.2764, Loss_G: 1.4108, Time: 27.08
Epoch: 261, Loss_D: 0.2767, Loss_G: 1.3875, Time: 28.22
Epoch: 262, Loss_D: 0.2766, Loss_G: 1.4064, Time: 27.88
Epoch: 263, Loss_D: 0.2773, Loss_G: 1.3950, Time: 28.13
Epoch: 264, Loss_D: 0.2764, Loss_G: 1.4015, Time: 27.95
Epoch: 265, Loss_D: 0.2772, Loss_G: 1.3870, Time: 28.01
Epoch: 266, Loss_D: 0.2765, Loss_G: 1.3946, Time: 28.24
Epoch: 267, Loss_D: 0.2760, Loss_G: 1.4026, Time: 29.06
Epoch: 268, Loss_D: 0.2767, Loss_G: 1.4025, Time: 28.31
Epoch: 269, Loss_D: 0.2764, Loss_G: 1.3927, Time: 28.30
Epoch: 270, Loss_D: 0.2759, Loss_G: 1.3970, Time: 27.26
Epoch: 271, Loss_D: 0.2763, Loss_G: 1.4101, Time: 28.56
Epoch: 272, Loss_D: 0.2764, Loss_G: 1.3995, Time: 27.77
Epoch: 273, Loss_D: 0.2762, Loss_G: 1.3988, Time: 28.01
Epoch: 274, Loss_D: 0.2765, Loss_G: 1.3975, Time: 28.39
Epoch: 275, Loss_D: 0.2757, Loss_G: 1.4068, Time: 28.50
Epoch: 276, Loss_D: 0.2766, Loss_G: 1.4027, Time: 28.35
Epoch: 277, Loss_D: 0.2772, Loss_G: 1.3941, Time: 28.10
Epoch: 278, Loss_D: 0.2762, Loss_G: 1.4012, Time: 27.87
Epoch: 279, Loss_D: 0.2762, Loss_G: 1.3890, Time: 28.46
Epoch: 280, Loss_D: 0.2764, Loss_G: 1.3983, Time: 28.14
Epoch: 281, Loss_D: 0.2766, Loss_G: 1.4010, Time: 28.42
